epoch: 9, loss: 1641.56, wins per 100: 6, avg piece diff: 10.0
epoch: 19, loss: 861.50, wins per 100: 2, avg piece diff: 3.4
epoch: 29, loss: 238.93, wins per 100: 5, avg piece diff: 5.4
epoch: 39, loss: 465.40, wins per 100: 3, avg piece diff: 2.2
epoch: 49, loss: 18.22, wins per 100: 0, avg piece diff: -1.2
epoch: 59, loss: 1124.95, wins per 100: 5, avg piece diff: 12.0
epoch: 69, loss: 2613.73, wins per 100: 8, avg piece diff: 9.4
epoch: 79, loss: 1550.81, wins per 100: 4, avg piece diff: 8.2
epoch: 89, loss: 1115.39, wins per 100: 6, avg piece diff: 9.0
epoch: 99, loss: 229.76, wins per 100: 4, avg piece diff: 1.6
epoch: 109, loss: 11.84, wins per 100: 4, avg piece diff: 4.8
epoch: 119, loss: 253.70, wins per 100: 6, avg piece diff: 9.2
epoch: 129, loss: 178.52, wins per 100: 3, avg piece diff: 3.0
epoch: 139, loss: 1414.16, wins per 100: 1, avg piece diff: 0.4
epoch: 149, loss: 574.84, wins per 100: 7, avg piece diff: 7.8
epoch: 159, loss: 277.02, wins per 100: 5, avg piece diff: 6.0
epoch: 169, loss: 88.51, wins per 100: 4, avg piece diff: 10.0
epoch: 179, loss: 109.80, wins per 100: 3, avg piece diff: 6.0
epoch: 189, loss: 129.72, wins per 100: 4, avg piece diff: 5.2
epoch: 199, loss: 85.04, wins per 100: 3, avg piece diff: 2.8
epoch: 209, loss: 29.17, wins per 100: 1, avg piece diff: 1.6
epoch: 219, loss: 211.67, wins per 100: 3, avg piece diff: 1.0
epoch: 229, loss: 98.63, wins per 100: 2, avg piece diff: 5.4
epoch: 239, loss: 166.25, wins per 100: 3, avg piece diff: 2.4
epoch: 249, loss: 137.56, wins per 100: 2, avg piece diff: 3.0
epoch: 259, loss: 68.69, wins per 100: 4, avg piece diff: 6.2
epoch: 269, loss: 22.81, wins per 100: 1, avg piece diff: 0.4
epoch: 279, loss: 12.57, wins per 100: 4, avg piece diff: 3.8
epoch: 289, loss: 52.46, wins per 100: 2, avg piece diff: 1.6
epoch: 299, loss: 1051.18, wins per 100: 3, avg piece diff: 5.0
epoch: 309, loss: 26.01, wins per 100: 3, avg piece diff: 2.8
epoch: 319, loss: 21.60, wins per 100: 0, avg piece diff: 0.0
epoch: 329, loss: 22.98, wins per 100: 3, avg piece diff: 4.0
epoch: 339, loss: 19.13, wins per 100: 2, avg piece diff: 0.2
epoch: 349, loss: 12.48, wins per 100: 2, avg piece diff: 4.6
epoch: 359, loss: 108.45, wins per 100: 1, avg piece diff: 0.6
epoch: 369, loss: 46.12, wins per 100: 1, avg piece diff: 0.4
epoch: 379, loss: 189.22, wins per 100: 4, avg piece diff: 5.4
epoch: 389, loss: 15.63, wins per 100: 5, avg piece diff: 11.4
epoch: 399, loss: 11.93, wins per 100: 4, avg piece diff: 6.2
epoch: 409, loss: 53.75, wins per 100: 1, avg piece diff: 1.8
epoch: 419, loss: 19.36, wins per 100: 1, avg piece diff: 2.6
epoch: 429, loss: 13.36, wins per 100: 3, avg piece diff: 5.4
epoch: 439, loss: 14.06, wins per 100: 3, avg piece diff: 3.6
epoch: 449, loss: 12.96, wins per 100: 3, avg piece diff: 3.2
epoch: 459, loss: 7.47, wins per 100: 2, avg piece diff: 4.0
epoch: 469, loss: 17.46, wins per 100: 1, avg piece diff: 2.0
epoch: 479, loss: 9.96, wins per 100: 3, avg piece diff: 5.4
epoch: 489, loss: 8.87, wins per 100: 4, avg piece diff: 6.4
epoch: 499, loss: 10.66, wins per 100: 2, avg piece diff: 0.6
epoch: 509, loss: 13.46, wins per 100: 0, avg piece diff: 0.0
epoch: 519, loss: 13.75, wins per 100: 2, avg piece diff: 2.6
epoch: 529, loss: 11.13, wins per 100: 2, avg piece diff: 2.4
epoch: 539, loss: 7.80, wins per 100: 1, avg piece diff: -0.6
epoch: 549, loss: 10.88, wins per 100: 1, avg piece diff: 1.8
epoch: 559, loss: 19.73, wins per 100: 3, avg piece diff: 4.2
epoch: 569, loss: 7.77, wins per 100: 1, avg piece diff: 1.6
epoch: 579, loss: 12.97, wins per 100: 1, avg piece diff: -1.6
epoch: 589, loss: 7.63, wins per 100: 3, avg piece diff: 4.2
epoch: 599, loss: 7.58, wins per 100: 1, avg piece diff: 0.6
epoch: 609, loss: 9.81, wins per 100: 2, avg piece diff: 2.6
epoch: 619, loss: 10.42, wins per 100: 1, avg piece diff: 0.6
epoch: 629, loss: 8.59, wins per 100: 2, avg piece diff: 2.6
epoch: 639, loss: 11.77, wins per 100: 4, avg piece diff: 4.6
epoch: 649, loss: 6.59, wins per 100: 2, avg piece diff: 0.6
epoch: 659, loss: 6.02, wins per 100: 1, avg piece diff: -0.4
epoch: 669, loss: 8.80, wins per 100: 5, avg piece diff: 6.8
epoch: 679, loss: 7.95, wins per 100: 0, avg piece diff: 0.0
epoch: 689, loss: 6.78, wins per 100: 2, avg piece diff: 0.2
epoch: 699, loss: 9.35, wins per 100: 2, avg piece diff: 2.0
epoch: 709, loss: 10.59, wins per 100: 0, avg piece diff: 0.0
epoch: 719, loss: 8.84, wins per 100: 0, avg piece diff: 0.0
epoch: 729, loss: 6.45, wins per 100: 4, avg piece diff: 7.2
epoch: 739, loss: 8.66, wins per 100: 2, avg piece diff: 3.2
epoch: 749, loss: 9.58, wins per 100: 1, avg piece diff: 2.2
epoch: 759, loss: 10.66, wins per 100: 1, avg piece diff: 0.2
epoch: 769, loss: 5.65, wins per 100: 0, avg piece diff: -2.0
epoch: 779, loss: 7.33, wins per 100: 1, avg piece diff: 3.0
epoch: 789, loss: 5.29, wins per 100: 4, avg piece diff: 7.0
epoch: 799, loss: 8.18, wins per 100: 0, avg piece diff: -1.0
epoch: 809, loss: 7.93, wins per 100: 3, avg piece diff: 2.2
epoch: 819, loss: 6.47, wins per 100: 1, avg piece diff: 1.0
epoch: 829, loss: 7.63, wins per 100: 0, avg piece diff: 0.0
epoch: 839, loss: 7.90, wins per 100: 2, avg piece diff: 1.8
epoch: 849, loss: 6.46, wins per 100: 2, avg piece diff: 2.4
epoch: 859, loss: 8.28, wins per 100: 2, avg piece diff: 0.4
epoch: 869, loss: 7.50, wins per 100: 1, avg piece diff: 0.4
epoch: 879, loss: 6.35, wins per 100: 2, avg piece diff: 0.8
epoch: 889, loss: 7.39, wins per 100: 2, avg piece diff: 1.6
epoch: 899, loss: 6.40, wins per 100: 1, avg piece diff: 1.4
epoch: 909, loss: 10.17, wins per 100: 0, avg piece diff: 0.0
epoch: 919, loss: 10.22, wins per 100: 0, avg piece diff: -5.8
epoch: 929, loss: 21.91, wins per 100: 1, avg piece diff: 0.6
epoch: 939, loss: 8.20, wins per 100: 1, avg piece diff: 0.0
epoch: 949, loss: 9.83, wins per 100: 0, avg piece diff: -1.0
epoch: 959, loss: 7.50, wins per 100: 3, avg piece diff: 2.4
epoch: 969, loss: 6.65, wins per 100: 2, avg piece diff: -0.6
epoch: 979, loss: 8.66, wins per 100: 0, avg piece diff: -1.2
epoch: 989, loss: 7.50, wins per 100: 2, avg piece diff: 1.6
epoch: 999, loss: 7.70, wins per 100: 1, avg piece diff: 1.6
epoch: 1009, loss: 9.39, wins per 100: 1, avg piece diff: 1.4
epoch: 1019, loss: 8.47, wins per 100: 0, avg piece diff: -3.6
epoch: 1029, loss: 5.44, wins per 100: 1, avg piece diff: 1.2
epoch: 1039, loss: 11.40, wins per 100: 0, avg piece diff: 0.0
epoch: 1049, loss: 4.96, wins per 100: 2, avg piece diff: 0.6
epoch: 1059, loss: 3.49, wins per 100: 2, avg piece diff: 1.0
epoch: 1069, loss: 6.18, wins per 100: 2, avg piece diff: 1.6
epoch: 1079, loss: 9.09, wins per 100: 1, avg piece diff: 0.4
epoch: 1089, loss: 4.65, wins per 100: 2, avg piece diff: 2.4
epoch: 1099, loss: 7.40, wins per 100: 0, avg piece diff: 0.0
epoch: 1109, loss: 7.97, wins per 100: 2, avg piece diff: 2.0
epoch: 1119, loss: 5.82, wins per 100: 1, avg piece diff: 1.4
epoch: 1129, loss: 8.66, wins per 100: 1, avg piece diff: 0.6
epoch: 1139, loss: 5.28, wins per 100: 2, avg piece diff: 1.8
epoch: 1149, loss: 7.34, wins per 100: 0, avg piece diff: 0.0
epoch: 1159, loss: 5.55, wins per 100: 0, avg piece diff: 0.0
epoch: 1169, loss: 8.66, wins per 100: 1, avg piece diff: 1.0
epoch: 1179, loss: 9.77, wins per 100: 0, avg piece diff: 0.0
epoch: 1189, loss: 5.88, wins per 100: 2, avg piece diff: 1.0
epoch: 1199, loss: 5.42, wins per 100: 0, avg piece diff: -0.4
epoch: 1209, loss: 7.75, wins per 100: 0, avg piece diff: -1.6
