epoch: 190009, loss: 4.63, wins per 10: 2, avg piece diff: -6.2
epoch: 190019, loss: 4.30, wins per 10: 1, avg piece diff: -4.4
epoch: 190029, loss: 8.38, wins per 10: 3, avg piece diff: -0.8
epoch: 190039, loss: 7.90, wins per 10: 3, avg piece diff: -2.4
epoch: 190049, loss: 8.83, wins per 10: 3, avg piece diff: -2.4
epoch: 190059, loss: 11.07, wins per 10: 2, avg piece diff: -4.0
epoch: 190069, loss: 3.53, wins per 10: 3, avg piece diff: -4.8
epoch: 190079, loss: 19.77, wins per 10: 3, avg piece diff: -4.2
epoch: 190089, loss: 14.52, wins per 10: 4, avg piece diff: -0.4
epoch: 190099, loss: 5.68, wins per 10: 4, avg piece diff: -3.0
epoch: 190109, loss: 6.22, wins per 10: 4, avg piece diff: -3.4
epoch: 190119, loss: 7.21, wins per 10: 1, avg piece diff: -11.0
epoch: 190129, loss: 6.05, wins per 10: 2, avg piece diff: -3.8
epoch: 190139, loss: 15.91, wins per 10: 4, avg piece diff: 0.0
epoch: 190149, loss: 9.97, wins per 10: 4, avg piece diff: 2.2
epoch: 190159, loss: 9.03, wins per 10: 6, avg piece diff: 1.8
epoch: 190169, loss: 7.96, wins per 10: 3, avg piece diff: -2.6
epoch: 190179, loss: 10.55, wins per 10: 4, avg piece diff: 0.2
epoch: 190189, loss: 9.17, wins per 10: 3, avg piece diff: -1.2
epoch: 190199, loss: 6.84, wins per 10: 4, avg piece diff: -4.8
epoch: 190209, loss: 10.10, wins per 10: 2, avg piece diff: -4.4
epoch: 190219, loss: 13.65, wins per 10: 5, avg piece diff: 2.0
epoch: 190229, loss: 6.17, wins per 10: 2, avg piece diff: -2.8
epoch: 190239, loss: 6.51, wins per 10: 3, avg piece diff: -6.0
epoch: 190249, loss: 10.56, wins per 10: 0, avg piece diff: -8.2
epoch: 190259, loss: 4.84, wins per 10: 3, avg piece diff: -5.2
epoch: 190269, loss: 5.16, wins per 10: 3, avg piece diff: -2.0
epoch: 190279, loss: 5.91, wins per 10: 2, avg piece diff: -9.0
epoch: 190289, loss: 5.68, wins per 10: 3, avg piece diff: -9.8
epoch: 190299, loss: 8.99, wins per 10: 5, avg piece diff: 0.4
epoch: 190309, loss: 8.49, wins per 10: 1, avg piece diff: -9.2
epoch: 190319, loss: 7.49, wins per 10: 2, avg piece diff: -8.6
epoch: 190329, loss: 7.48, wins per 10: 5, avg piece diff: 0.0
epoch: 190339, loss: 3.47, wins per 10: 5, avg piece diff: 2.0
epoch: 190349, loss: 6.57, wins per 10: 5, avg piece diff: 0.8
epoch: 190359, loss: 11.94, wins per 10: 4, avg piece diff: -5.8
epoch: 190369, loss: 4.83, wins per 10: 7, avg piece diff: 1.2
epoch: 190379, loss: 14.12, wins per 10: 3, avg piece diff: -7.2
epoch: 190389, loss: 8.66, wins per 10: 2, avg piece diff: -9.6
epoch: 190399, loss: 9.61, wins per 10: 3, avg piece diff: -4.0
epoch: 190409, loss: 9.57, wins per 10: 2, avg piece diff: -10.0
epoch: 190419, loss: 4.95, wins per 10: 3, avg piece diff: -4.6
epoch: 190429, loss: 6.74, wins per 10: 4, avg piece diff: -5.0
epoch: 190439, loss: 7.69, wins per 10: 2, avg piece diff: -7.8
epoch: 190449, loss: 9.76, wins per 10: 2, avg piece diff: -4.2
epoch: 190459, loss: 2.59, wins per 10: 5, avg piece diff: 0.2
epoch: 190469, loss: 7.15, wins per 10: 4, avg piece diff: -4.4
epoch: 190479, loss: 6.52, wins per 10: 0, avg piece diff: -8.8
epoch: 190489, loss: 3.06, wins per 10: 4, avg piece diff: -4.6
epoch: 190499, loss: 11.10, wins per 10: 2, avg piece diff: -12.2
epoch: 190509, loss: 5.11, wins per 10: 2, avg piece diff: -11.6
epoch: 190519, loss: 3.77, wins per 10: 2, avg piece diff: -6.0
epoch: 190529, loss: 6.08, wins per 10: 5, avg piece diff: -7.2
epoch: 190539, loss: 3.00, wins per 10: 4, avg piece diff: -4.2
epoch: 190549, loss: 5.03, wins per 10: 4, avg piece diff: -0.8
epoch: 190559, loss: 7.88, wins per 10: 6, avg piece diff: 3.0
epoch: 190569, loss: 5.31, wins per 10: 2, avg piece diff: -3.4
epoch: 190579, loss: 5.93, wins per 10: 5, avg piece diff: -1.2
epoch: 190589, loss: 12.30, wins per 10: 0, avg piece diff: -13.2
epoch: 190599, loss: 5.52, wins per 10: 2, avg piece diff: -10.8
epoch: 190609, loss: 4.19, wins per 10: 0, avg piece diff: -11.6
epoch: 190619, loss: 11.48, wins per 10: 4, avg piece diff: -1.4
epoch: 190629, loss: 5.89, wins per 10: 2, avg piece diff: -6.4
epoch: 190639, loss: 5.85, wins per 10: 5, avg piece diff: -0.2
epoch: 190649, loss: 10.86, wins per 10: 4, avg piece diff: -3.6
epoch: 190659, loss: 6.12, wins per 10: 3, avg piece diff: -8.2
epoch: 190669, loss: 6.95, wins per 10: 4, avg piece diff: -4.6
epoch: 190679, loss: 6.99, wins per 10: 2, avg piece diff: -6.4
epoch: 190689, loss: 9.56, wins per 10: 1, avg piece diff: -8.2
epoch: 190699, loss: 5.14, wins per 10: 1, avg piece diff: -8.4
epoch: 190709, loss: 9.05, wins per 10: 2, avg piece diff: -10.6
epoch: 190719, loss: 9.49, wins per 10: 5, avg piece diff: -2.0
epoch: 190729, loss: 5.46, wins per 10: 3, avg piece diff: -5.4
epoch: 190739, loss: 4.49, wins per 10: 0, avg piece diff: -11.4
epoch: 190749, loss: 5.83, wins per 10: 3, avg piece diff: -3.2
epoch: 190759, loss: 5.50, wins per 10: 3, avg piece diff: -8.2
epoch: 190769, loss: 9.21, wins per 10: 0, avg piece diff: -12.6
epoch: 190779, loss: 8.69, wins per 10: 2, avg piece diff: -8.4
epoch: 190789, loss: 6.38, wins per 10: 2, avg piece diff: -9.0
epoch: 190799, loss: 8.08, wins per 10: 5, avg piece diff: -0.4
epoch: 190809, loss: 4.77, wins per 10: 1, avg piece diff: -8.0
epoch: 190819, loss: 6.62, wins per 10: 3, avg piece diff: -7.0
